Date,B,C,Daily_new_confirmed_cases
2020/1/22,0,0,0
2020/1/23,0,0,0
2020/1/24,0,0,0
2020/1/25,0,0,0
2020/1/26,0,0,0
2020/1/27,0,0,0
2020/1/28,0,0,0
2020/1/29,0,0,0
2020/1/30,0,0,0
2020/1/31,0,0,0
2020/2/1,0,0,0
2020/2/2,0,0,0
2020/2/3,0,0,0
2020/2/4,0,0,0
2020/2/5,0,0,0
2020/2/6,0,0,0
2020/2/7,0,0,0
2020/2/8,0,0,0
2020/2/9,0,0,0
2020/2/10,0,0,0
2020/2/11,0,0,0
2020/2/12,0,0,0
2020/2/13,0,0,0
2020/2/14,0,0,0
2020/2/15,0,0,0
2020/2/16,0,0,0
2020/2/17,0,0,0
2020/2/18,0,0,0
2020/2/19,0,0,0
2020/2/20,0,0,0
2020/2/21,0,0,0
2020/2/22,0,0,0
2020/2/23,0,0,0
2020/2/24,0,0,0
2020/2/25,2,0,2
2020/2/26,2,2,0
2020/2/27,3,2,1
2020/2/28,3,3,0
2020/2/29,9,3,6
2020/3/1,14,9,5
2020/3/2,18,14,4
2020/3/3,21,18,3
2020/3/4,29,21,8
2020/3/5,41,29,12
2020/3/6,55,41,14
2020/3/7,79,55,24
2020/3/8,104,79,25
2020/3/9,131,104,27
2020/3/10,182,131,51
2020/3/11,246,182,64
2020/3/12,302,246,56
2020/3/13,504,302,202
2020/3/14,655,504,151
2020/3/15,860,655,205
2020/3/16,1018,860,158
2020/3/17,1332,1018,314
2020/3/18,1646,1332,314
2020/3/19,2013,1646,367
2020/3/20,2388,2013,375
2020/3/21,2814,2388,426
2020/3/22,3582,2814,768
2020/3/23,4474,3582,892
2020/3/24,5283,4474,809
2020/3/25,5588,5283,305
2020/3/26,6909,5588,1321
2020/3/27,7657,6909,748
2020/3/28,8271,7657,614
2020/3/29,8788,8271,517
2020/3/30,9618,8788,830
2020/3/31,10180,9618,562
2020/4/1,10711,10180,531
2020/4/2,11129,10711,418
2020/4/3,11524,11129,395
2020/4/4,11781,11524,257
2020/4/5,12051,11781,270
2020/4/6,12297,12051,246
2020/4/7,12639,12297,342
2020/4/8,12942,12639,303
2020/4/9,13244,12942,302
2020/4/10,13555,13244,311
2020/4/11,13806,13555,251
2020/4/12,13945,13806,139
2020/4/13,14041,13945,96
2020/4/14,14226,14041,185
2020/4/15,14336,14226,110
2020/4/16,14476,14336,140
2020/4/17,14595,14476,119
2020/4/18,14671,14595,76
2020/4/19,14749,14671,78
2020/4/20,14795,14749,46
2020/4/21,14873,14795,78
2020/4/22,14925,14873,52
2020/4/23,15002,14925,77
2020/4/24,15071,15002,69
2020/4/25,15148,15071,77
2020/4/26,15225,15148,77
2020/4/27,15274,15225,49
2020/4/28,15357,15274,83
2020/4/29,15402,15357,45
2020/4/30,15452,15402,50
2020/5/1,15531,15452,79
2020/5/2,15558,15531,27
2020/5/3,15597,15558,39
2020/5/4,15621,15597,24
2020/5/5,15650,15621,29
2020/5/6,15684,15650,34
2020/5/7,15752,15684,68
2020/5/8,15774,15752,22
2020/5/9,15833,15774,59
2020/5/10,15871,15833,38
2020/5/11,15882,15871,11
2020/5/12,15961,15882,79
2020/5/13,15997,15961,36
2020/5/14,16058,15997,61
2020/5/15,16109,16058,51
2020/5/16,16201,16109,92
2020/5/17,16242,16201,41
2020/5/18,16269,16242,27
2020/5/19,16321,16269,52
2020/5/20,16353,16321,32
2020/5/21,16404,16353,51
2020/5/22,16436,16404,32
2020/5/23,16486,16436,50
2020/5/24,16503,16486,17
2020/5/25,16539,16503,36
2020/5/26,16557,16539,18
2020/5/27,16591,16557,34
2020/5/28,16628,16591,37
2020/5/29,16655,16628,27
2020/5/30,16685,16655,30
2020/5/31,16731,16685,46
2020/6/1,16733,16731,2
2020/6/2,16759,16733,26
2020/6/3,16771,16759,12
2020/6/4,16805,16771,34
2020/6/5,16843,16805,38
2020/6/6,16898,16843,55
2020/6/7,16902,16898,4
2020/6/8,16968,16902,66
2020/6/9,16979,16968,11
2020/6/10,17005,16979,26
2020/6/11,17034,17005,29
2020/6/12,17064,17034,30
2020/6/13,17078,17064,14
2020/6/14,17109,17078,31
2020/6/15,17135,17109,26
2020/6/16,17189,17135,54
2020/6/17,17203,17189,14
2020/6/18,17223,17203,20
2020/6/19,17271,17223,48
2020/6/20,17323,17271,52
2020/6/21,17341,17323,18
2020/6/22,17380,17341,39
2020/6/23,17408,17380,28
2020/6/24,17449,17408,41
2020/6/25,17477,17449,28
2020/6/26,17522,17477,45
2020/6/27,17580,17522,58
2020/6/28,17654,17580,74
2020/6/29,17723,17654,69
2020/6/30,17766,17723,43
2020/7/1,17873,17766,107
2020/7/2,17941,17873,68
2020/7/3,18050,17941,109
2020/7/4,18165,18050,115
2020/7/5,18280,18165,115
2020/7/6,18365,18280,85
2020/7/7,18421,18365,56
2020/7/8,18513,18421,92
2020/7/9,18615,18513,102
2020/7/10,18709,18615,94
2020/7/11,18783,18709,74
2020/7/12,18897,18783,114
2020/7/13,18948,18897,51
2020/7/14,19021,18948,73
2020/7/15,19154,19021,133
2020/7/16,19270,19154,116
2020/7/17,19439,19270,169
2020/7/18,19573,19439,134
2020/7/19,19655,19573,82
2020/7/20,19743,19655,88
2020/7/21,19827,19743,84
2020/7/22,19929,19827,102
2020/7/23,20099,19929,170
2020/7/24,20214,20099,115
2020/7/25,20338,20214,124
2020/7/26,20472,20338,134
2020/7/27,20558,20472,86
2020/7/28,20677,20558,119
2020/7/29,20850,20677,173
2020/7/30,20955,20850,105
2020/7/31,21130,20955,175
2020/8/1,21212,21130,82
2020/8/2,21304,21212,92
2020/8/3,21385,21304,81
2020/8/4,21481,21385,96
2020/8/5,21566,21481,85
2020/8/6,21696,21566,130
2020/8/7,21837,21696,141
2020/8/8,21919,21837,82
2020/8/9,22033,21919,114
2020/8/10,22106,22033,73
2020/8/11,22245,22106,139
2020/8/12,22439,22245,194
2020/8/13,22594,22439,155
2020/8/14,22876,22594,282
2020/8/15,23179,22876,303
2020/8/16,23370,23179,191
2020/8/17,23534,23370,164
2020/8/18,23829,23534,295
2020/8/19,24084,23829,255
2020/8/20,24431,24084,347
2020/8/21,24762,24431,331
2020/8/22,25062,24762,300
2020/8/23,25253,25062,191
2020/8/24,25495,25253,242
2020/8/25,25706,25495,211
2020/8/26,26033,25706,327
2020/8/27,26361,26033,328
2020/8/28,26590,26361,229
2020/8/29,26985,26590,395
2020/8/30,27166,26985,181
2020/8/31,27438,27166,272
2020/9/1,27642,27438,204
2020/9/2,27969,27642,327
2020/9/3,28372,27969,403
2020/9/4,28729,28372,357
2020/9/5,29087,28729,358
2020/9/6,29271,29087,184
2020/9/7,29561,29271,290
2020/9/8,30081,29561,520
2020/9/9,30583,30081,502
2020/9/10,31247,30583,664
2020/9/11,31827,31247,580
2020/9/12,32696,31827,869
2020/9/13,33159,32696,463
2020/9/14,33541,33159,382
2020/9/15,34305,33541,764
2020/9/16,35073,34305,768
2020/9/17,35853,35073,780
2020/9/18,36661,35853,808
2020/9/19,37474,36661,813
2020/9/20,38095,37474,621
2020/9/21,38658,38095,563
2020/9/22,39303,38658,645
2020/9/23,39984,39303,681
2020/9/24,40816,39984,832
2020/9/25,41500,40816,684
2020/9/26,42214,41500,714
2020/9/27,42876,42214,662
2020/9/28,43432,42876,556
2020/9/29,44041,43432,609
2020/9/30,44813,44041,772
2020/10/1,45686,44813,873
2020/10/2,46374,45686,688
2020/10/3,47432,46374,1058
2020/10/4,48146,47432,714
2020/10/5,48896,48146,750
2020/10/6,49819,48896,923
2020/10/7,50848,49819,1029
2020/10/8,52057,50848,1209
2020/10/9,53188,52057,1131
