Date,Daily_new_confirmed_cases
2020/1/27,1
2020/1/28,3
2020/1/31,1
2020/2/1,3
2020/2/2,2
2020/2/3,2
2020/2/7,1
2020/2/9,1
2020/2/11,2
2020/2/26,5
2020/2/27,5
2020/2/28,27
2020/2/29,13
2020/3/1,51
2020/3/2,33
2020/3/3,38
2020/3/4,52
2020/3/5,109
2020/3/6,185
2020/3/7,150
2020/3/8,163
2020/3/9,265
2020/3/10,184
2020/3/11,271
2020/3/12,802
2020/3/13,693
2020/3/14,733
2020/3/15,1043
2020/3/16,1174
2020/3/17,1144
2020/3/18,1042
2020/3/19,2801
2020/3/20,2958
2020/3/21,2705
2020/3/22,1948
2020/3/23,4062
2020/3/24,4764
2020/3/25,4118
2020/3/26,4954
2020/3/27,5780
2020/3/28,6294
2020/3/29,3965
2020/3/30,4751
2020/3/31,4615
2020/4/1,5453
2020/4/2,6156
2020/4/3,6174
2020/4/4,6082
2020/4/5,5936
2020/4/6,3677
2020/4/7,3834
2020/4/8,4003
2020/4/9,4974
2020/4/10,5323
2020/4/11,4133
2020/4/12,2821
2020/4/13,2537
2020/4/14,2082
2020/4/15,2486
2020/4/16,2866
2020/4/17,3380
2020/4/18,3609
2020/4/19,2458
2020/4/20,1775
2020/4/21,1785
2020/4/22,2237
2020/4/23,2352
2020/4/24,2337
2020/4/25,2055
2020/4/26,1737
2020/4/27,1018
2020/4/28,1144
2020/4/29,1304
2020/4/30,1478
2020/5/1,1639
2020/5/2,945
2020/5/3,793
2020/5/4,679
2020/5/5,685
2020/5/6,947
2020/5/7,1284
2020/5/8,1209
2020/5/9,1251
2020/5/10,667
2020/5/11,357
2020/5/12,933
2020/5/13,798
2020/5/14,933
2020/5/15,913
2020/5/16,620
2020/5/17,583
2020/5/18,342
2020/5/19,513
2020/5/20,797
2020/5/21,745
2020/5/22,460
2020/5/23,638
2020/5/24,431
2020/5/25,289
2020/5/26,432
2020/5/27,362
2020/5/28,353
2020/5/29,741
2020/5/30,738
2020/5/31,286
2020/6/1,333
2020/6/2,213
2020/6/3,342
2020/6/4,394
2020/6/5,507
2020/6/6,407
