Date,Daily_new_confirmed_cases
2020/1/31,2
2020/2/7,1
2020/2/21,17
2020/2/22,42
2020/2/23,93
2020/2/24,74
2020/2/25,93
2020/2/26,131
2020/2/27,202
2020/2/28,233
2020/2/29,240
2020/3/1,566
2020/3/2,342
2020/3/3,466
2020/3/4,587
2020/3/5,769
2020/3/6,778
2020/3/7,1247
2020/3/8,1492
2020/3/9,1797
2020/3/10,977
2020/3/11,2313
2020/3/12,2651
2020/3/13,2547
2020/3/14,3497
2020/3/15,3590
2020/3/16,3233
2020/3/17,3526
2020/3/18,4207
2020/3/19,5322
2020/3/20,5986
2020/3/21,6557
2020/3/22,5560
2020/3/23,4789
2020/3/24,5249
2020/3/25,5210
2020/3/26,6203
2020/3/27,5909
2020/3/28,5974
2020/3/29,5217
2020/3/30,4050
2020/3/31,4053
2020/4/1,4782
2020/4/2,4668
2020/4/3,4585
2020/4/4,4805
2020/4/5,4316
2020/4/6,3599
2020/4/7,3039
2020/4/8,3836
2020/4/9,4204
2020/4/10,3951
2020/4/11,4694
2020/4/12,4092
2020/4/13,3153
2020/4/14,2972
2020/4/15,2667
2020/4/16,3786
2020/4/17,3493
2020/4/18,3491
2020/4/19,3047
2020/4/20,2256
2020/4/21,2729
2020/4/22,3370
2020/4/23,2646
2020/4/24,3021
2020/4/25,2357
2020/4/26,2324
2020/4/27,1739
2020/4/28,2091
2020/4/29,2086
2020/4/30,1872
2020/5/1,1965
2020/5/2,1900
2020/5/3,1389
2020/5/4,1221
2020/5/5,1075
2020/5/6,1444
2020/5/7,1401
2020/5/8,1327
2020/5/9,1083
2020/5/10,802
2020/5/11,744
2020/5/12,1402
2020/5/13,888
2020/5/14,992
2020/5/15,789
2020/5/16,875
2020/5/17,675
2020/5/18,451
2020/5/19,813
2020/5/20,665
2020/5/21,642
2020/5/22,652
2020/5/23,669
2020/5/24,531
2020/5/25,300
2020/5/26,397
2020/5/27,584
2020/5/28,593
2020/5/29,516
2020/5/30,416
2020/5/31,333
2020/6/1,200
2020/6/2,318
2020/6/3,321
2020/6/4,177
2020/6/5,518
2020/6/6,270
2020/6/7,197
2020/6/8,280
2020/6/9,283
2020/6/10,202
2020/6/11,379
2020/6/12,163
2020/6/13,346
2020/6/14,338
2020/6/15,301
2020/6/16,210
2020/6/17,328
2020/6/18,331
2020/6/19,-148
2020/6/20,264
2020/6/21,224
2020/6/22,221
2020/6/23,113
2020/6/24,577
2020/6/25,296
2020/6/26,255
2020/6/27,175
2020/6/28,174
2020/6/29,126
2020/6/30,142
2020/7/1,182
2020/7/2,201
2020/7/3,223
2020/7/4,235
2020/7/5,192
2020/7/6,208
2020/7/7,137
2020/7/8,193
2020/7/9,214
2020/7/10,276
2020/7/11,188
2020/7/12,234
2020/7/13,169
2020/7/14,114
2020/7/15,162
2020/7/16,230
2020/7/17,231
2020/7/18,249
2020/7/19,218
2020/7/20,190
2020/7/21,128
2020/7/22,280
2020/7/23,306
2020/7/24,252
2020/7/25,274
2020/7/26,254
2020/7/27,168
2020/7/28,202
2020/7/29,288
2020/7/30,382
2020/7/31,379
2020/8/1,295
2020/8/2,238
2020/8/3,159
2020/8/4,190
2020/8/5,384
2020/8/6,401
2020/8/7,552
2020/8/8,347
2020/8/9,463
2020/8/10,259
2020/8/11,412
2020/8/12,476
2020/8/13,522
2020/8/14,574
2020/8/15,629
2020/8/16,477
2020/8/17,320
2020/8/18,401
2020/8/19,642
2020/8/20,840
2020/8/21,947
2020/8/22,1071
2020/8/23,1209
2020/8/24,953
2020/8/25,876
2020/8/26,1366
2020/8/27,1409
2020/8/28,1460
2020/8/29,1444
2020/8/30,1365
2020/8/31,996
2020/9/1,975
2020/9/2,1326
2020/9/3,1397
2020/9/4,1732
2020/9/5,1694
2020/9/6,1296
2020/9/7,1150
2020/9/8,1369
2020/9/9,1430
2020/9/10,1597
2020/9/11,1616
2020/9/12,1501
2020/9/13,1456
2020/9/14,1008
2020/9/15,1229
2020/9/16,1452
2020/9/17,1583
2020/9/18,1907
2020/9/19,1637
2020/9/20,1587
2020/9/21,1350
2020/9/22,1391
2020/9/23,1640
2020/9/24,1786
2020/9/25,1912
2020/9/26,1869
2020/9/27,1766
2020/9/28,1494
2020/9/29,1647
2020/9/30,1850
2020/10/1,2548
2020/10/2,2499
2020/10/3,2843
2020/10/4,2578
2020/10/5,2257
2020/10/6,2677
2020/10/7,3677
2020/10/8,4458
2020/10/9,5372
2020/10/10,5724
2020/10/11,5456
2020/10/12,4619
2020/10/13,5898
2020/10/14,7332
2020/10/15,8803
2020/10/16,10009
2020/10/17,10925
2020/10/18,11705
2020/10/19,9337
2020/10/20,10871
2020/10/21,15199
2020/10/22,16078
2020/10/23,19143
2020/10/24,19640
2020/10/25,21273
2020/10/26,17007
2020/10/27,21989
2020/10/28,24988
2020/10/29,26829
2020/10/30,31079
2020/10/31,31756
2020/11/1,29905
2020/11/2,22253
2020/11/3,28241
2020/11/4,30548
2020/11/5,34502
2020/11/6,37802
2020/11/7,39809
2020/11/8,32614
2020/11/9,25269
2020/11/10,35090
2020/11/11,32961
2020/11/12,37977
2020/11/13,40902
2020/11/14,37249
2020/11/15,33977
2020/11/16,27352
2020/11/17,32191
2020/11/18,34280
2020/11/19,36176
2020/11/20,37239
2020/11/21,34764
2020/11/22,28337
2020/11/23,22927
2020/11/24,23227
2020/11/25,25852
2020/11/26,29001
2020/11/27,28342
2020/11/28,26315
2020/11/29,20646
2020/11/30,16376
2020/12/1,19347
2020/12/2,20709
