Date,Actual,Prediction,,
2020/9/14,1008,,,
2020/9/15,1229,,,
2020/9/16,1452,,,
2020/9/17,1583,,,
2020/9/18,1907,,,
2020/9/19,1637,,,
2020/9/20,1587,,,
2020/9/21,1350,,,
2020/9/22,1391,,,
2020/9/23,1640,,,
2020/9/24,1786,,,
2020/9/25,1912,,,
2020/9/26,1869,,,
2020/9/27,1766,,,
2020/9/28,1494,,,
2020/9/29,1647,,,
2020/9/30,1850,,,
2020/10/1,2548,,,
2020/10/2,2499,,,
2020/10/3,2843,,,
2020/10/4,2578,,,
2020/10/5,2257,,,
2020/10/6,2677,,,
2020/10/7,3677,,,
2020/10/8,4458,,,
2020/10/9,5372,,,
2020/10/10,5724,,,
2020/10/11,5456,,,
2020/10/12,4619,,,
2020/10/13,5898,,,
2020/10/14,7332,,,
2020/10/15,8803,,,
2020/10/16,10009,,,
2020/10/17,10925,,,
2020/10/18,11705,,,
2020/10/19,9337,,,
2020/10/20,10871,,,
2020/10/21,15199,,,
2020/10/22,16078,,,
2020/10/23,19143,,,
2020/10/24,19640,,,
2020/10/25,21273,,,
2020/10/26,17007,,,
2020/10/27,21989,,,
2020/10/28,24988,,,
2020/10/29,26829,,,
2020/10/30,31079,,,
2020/10/31,31756,,,
2020/11/1,29905,,,
2020/11/2,22253,,,
2020/11/3,28241,,,
2020/11/4,30548,,,
2020/11/5,34502,,,
2020/11/6,37802,,,
2020/11/7,39809,,,
2020/11/8,32614,,,
2020/11/9,25269,,,
2020/11/10,35090,,,
2020/11/11,32961,,,
2020/11/12,37977,,,
2020/11/13,40902,,,
2020/11/14,37249,,,
2020/11/15,33977,,,
2020/11/16,27352,,,
2020/11/17,32191,36645.62767,0.121559595,0.41313732
2020/11/18,34280,34516.62767,0.006855469,
2020/11/19,36176,39532.62767,0.08490778,
2020/11/20,37239,42457.62767,0.122913784,
2020/11/21,34764,38804.62767,0.104127469,
2020/11/22,28337,35532.62767,0.202507615,
2020/11/23,22927,28907.62767,0.206887529,
2020/11/24,23227,38201.25533,0.391983331,
2020/11/25,25852,36072.25533,0.283327317,
2020/11/26,29001,41088.25533,0.294177867,
2020/11/27,28342,44013.25533,0.356057629,
2020/11/28,26315,40360.25533,0.347997187,
2020/11/29,20646,37088.25533,0.443327819,
2020/11/30,16376,30463.25533,0.462434339,
2020/12/1,19347,39756.883,0.513367283,
2020/12/2,20709,37627.883,0.449636856,
2020/12/3,23219,42643.883,0.455513936,
2020/12/4,24110,45568.883,0.470910884,
2020/12/5,21052,41915.883,0.497756018,
2020/12/6,18887,38643.883,0.511255119,
2020/12/7,13679,32018.883,0.572783348,
2020/12/8,14837,41312.51066,0.640859397,
2020/12/9,12755,39183.51066,0.674480418,
2020/12/10,16998,44199.51066,0.615425607,
2020/12/11,18726,47124.51066,0.602627173,
2020/12/12,19902,43471.51066,0.542182922,
2020/12/13,17937,40199.51066,0.553800539,
2020/12/14,12025,33574.51066,0.641841392,
2020/12/15,14839,42868.13833,0.653845476,
2020/12/16,17568,40739.13833,0.568768493,
