Date,Daily_new_confirmed_cases
2020/11/10,3817
2020/11/11,4935
2020/11/12,5839
2020/11/13,6653
2020/11/14,6602
2020/11/15,6035
2020/11/16,8371
2020/11/17,4452
2020/11/18,5891
2020/11/19,6994
2020/11/20,6489
2020/11/21,6472
2020/11/22,4788
2020/11/23,4044
2020/11/24,3919
2020/11/25,5290
2020/11/26,6383
2020/11/27,5444
2020/11/28,4868
2020/11/29,4093
2020/11/30,3262
2020/12/1,2401
2020/12/2,3384
2020/12/3,3772
2020/12/4,4935
2020/12/5,6087
2020/12/6,3834
2020/12/7,2597
2020/12/8,2905
2020/12/9,4097
2020/12/10,3134
2020/12/11,5080
2020/12/12,4413
2020/12/13,4044
2020/12/14,2194
2020/12/15,2638
2020/12/16,4720
2020/12/17,4320
2020/12/18,4336
2020/12/19,3835
2020/12/20,3334
2020/12/21,2099
2020/12/22,2436
2020/12/23,4602
2020/12/24,4378
2020/12/25,4146
2020/12/26,1214
2020/12/27,1577
2020/12/28,2093
2020/12/29,3336
2020/12/30,6049
2020/12/31,7627
2021/1/1,6951
2021/1/2,3241
2021/1/3,3384
2021/1/4,4369
2021/1/5,4956
2021/1/6,10027
2021/1/7,9927
2021/1/8,10176
2021/1/9,9478
2021/1/10,7502
2021/1/11,5604
2021/1/12,7259
2021/1/13,10556
2021/1/14,10698
2021/1/15,10663
2021/1/16,10947
2021/1/17,10385
2021/1/18,6702
