Date,B,C,Daily_new_confirmed_cases
2020/1/22,0,0,0
2020/1/23,0,0,0
2020/1/24,0,0,0
2020/1/25,0,0,0
2020/1/26,0,0,0
2020/1/27,0,0,0
2020/1/28,0,0,0
2020/1/29,0,0,0
2020/1/30,0,0,0
2020/1/31,0,0,0
2020/2/1,0,0,0
2020/2/2,0,0,0
2020/2/3,0,0,0
2020/2/4,0,0,0
2020/2/5,0,0,0
2020/2/6,0,0,0
2020/2/7,0,0,0
2020/2/8,0,0,0
2020/2/9,0,0,0
2020/2/10,0,0,0
2020/2/11,0,0,0
2020/2/12,0,0,0
2020/2/13,0,0,0
2020/2/14,0,0,0
2020/2/15,0,0,0
2020/2/16,0,0,0
2020/2/17,0,0,0
2020/2/18,0,0,0
2020/2/19,0,0,0
2020/2/20,0,0,0
2020/2/21,0,0,0
2020/2/22,0,0,0
2020/2/23,0,0,0
2020/2/24,0,0,0
2020/2/25,0,0,0
2020/2/26,0,0,0
2020/2/27,0,0,0
2020/2/28,0,0,0
2020/2/29,0,0,0
2020/3/1,0,0,0
2020/3/2,2,0,2
2020/3/3,2,2,0
2020/3/4,5,2,3
2020/3/5,8,5,3
2020/3/6,13,8,5
2020/3/7,20,13,7
2020/3/8,30,20,10
2020/3/9,30,30,0
2020/3/10,41,30,11
2020/3/11,59,41,18
2020/3/12,59,59,0
2020/3/13,112,59,53
2020/3/14,169,112,57
2020/3/15,245,169,76
2020/3/16,331,245,86
2020/3/17,448,331,117
2020/3/18,448,448,0
2020/3/19,785,448,337
2020/3/20,1020,785,235
2020/3/21,1280,1020,260
2020/3/22,1600,1280,320
2020/3/23,2060,1600,460
2020/3/24,2362,2060,302
2020/3/25,2995,2362,633
2020/3/26,3544,2995,549
2020/3/27,4268,3544,724
2020/3/28,5170,4268,902
2020/3/29,5962,5170,792
2020/3/30,6408,5962,446
2020/3/31,7443,6408,1035
2020/4/1,8251,7443,808
2020/4/2,9034,8251,783
2020/4/3,9886,9034,852
2020/4/4,10524,9886,638
2020/4/5,11278,10524,754
2020/4/6,11730,11278,452
2020/4/7,12442,11730,712
2020/4/8,13141,12442,699
2020/4/9,13956,13141,815
2020/4/10,15472,13956,1516
2020/4/11,15987,15472,515
2020/4/12,16585,15987,598
2020/4/13,16934,16585,349
2020/4/14,17448,16934,514
2020/4/15,18091,17448,643
2020/4/16,18841,18091,750
2020/4/17,19022,18841,181
2020/4/18,19685,19022,663
2020/4/19,20206,19685,521
2020/4/20,20863,20206,657
2020/4/21,21379,20863,516
2020/4/22,21982,21379,603
2020/4/23,22353,21982,371
2020/4/24,22797,22353,444
2020/4/25,23392,22797,595
2020/4/26,23864,23392,472
2020/4/27,24027,23864,163
2020/4/28,24322,24027,295
2020/4/29,24505,24322,183
2020/4/30,25045,24505,540
2020/5/1,25351,25045,306
2020/5/2,25190,25351,-161
2020/5/3,25282,25190,92
2020/5/4,25524,25282,242
2020/5/5,25702,25524,178
2020/5/6,26182,25702,480
2020/5/7,26715,26182,533
2020/5/8,27268,26715,553
2020/5/9,27406,27268,138
2020/5/10,27581,27406,175
2020/5/11,27679,27581,98
2020/5/12,27913,27679,234
2020/5/13,28132,27913,219
2020/5/14,28319,28132,187
2020/5/15,28583,28319,264
2020/5/16,28810,28583,227
2020/5/17,29036,28810,226
2020/5/18,29209,29036,173
2020/5/19,29432,29209,223
2020/5/20,29660,29432,228
2020/5/21,29912,29660,252
2020/5/22,30200,29912,288
2020/5/23,30471,30200,271
2020/5/24,30623,30471,152
2020/5/25,30788,30623,165
2020/5/26,31007,30788,219
2020/5/27,31292,31007,285
2020/5/28,31596,31292,304
2020/5/29,31946,31596,350
2020/5/30,32203,31946,257
2020/5/31,32500,32203,297
2020/6/1,32700,32500,200
2020/6/2,32895,32700,195
2020/6/3,33261,32895,366
2020/6/4,33592,33261,331
2020/6/5,33969,33592,377
2020/6/6,34351,33969,382
2020/6/7,34693,34351,342
2020/6/8,34885,34693,192
2020/6/9,35306,34885,421
2020/6/10,35600,35306,294
2020/6/11,35910,35600,310
2020/6/12,36180,35910,270
2020/6/13,36463,36180,283
2020/6/14,36690,36463,227
2020/6/15,37036,36690,346
2020/6/16,37336,37036,300
2020/6/17,37672,37336,336
2020/6/18,38089,37672,417
2020/6/19,38464,38089,375
2020/6/20,38841,38464,377
2020/6/21,39133,38841,292
2020/6/22,39392,39133,259
2020/6/23,39737,39392,345
2020/6/24,40104,39737,367
2020/6/25,40415,40104,311
2020/6/26,40866,40415,451
2020/6/27,41189,40866,323
2020/6/28,41646,41189,457
2020/6/29,41912,41646,266
2020/6/30,42141,41912,229
2020/7/1,42454,42141,313
2020/7/2,42782,42454,328
2020/7/3,43156,42782,374
2020/7/4,43569,43156,413
2020/7/5,43897,43569,328
2020/7/6,44129,43897,232
2020/7/7,44416,44129,287
2020/7/8,44859,44416,443
2020/7/9,45277,44859,418
2020/7/10,45679,45277,402
2020/7/11,46221,45679,542
2020/7/12,46512,46221,291
2020/7/13,46818,46512,306
2020/7/14,47051,46818,233
2020/7/15,47426,47051,375
2020/7/16,47765,47426,339
2020/7/17,48077,47765,312
2020/7/18,48390,48077,313
2020/7/19,48636,48390,246
2020/7/20,48771,48636,135
2020/7/21,48898,48771,127
2020/7/22,49150,48898,252
2020/7/23,49379,49150,229
2020/7/24,49692,49379,313
2020/7/25,49955,49692,263
2020/7/26,50164,49955,209
2020/7/27,50299,50164,135
2020/7/28,50410,50299,111
2020/7/29,50613,50410,203
2020/7/30,50868,50613,255
2020/7/31,51072,50868,204
2020/8/1,51310,51072,238
2020/8/2,51463,51310,153
2020/8/3,51569,51463,106
2020/8/4,51681,51569,112
2020/8/5,51848,51681,167
2020/8/6,52061,51848,213
2020/8/7,52351,52061,290
2020/8/8,52537,52351,186
2020/8/9,52668,52537,131
2020/8/10,52825,52668,157
2020/8/11,52945,52825,120
2020/8/12,53223,52945,278
2020/8/13,53548,53223,325
2020/8/14,53783,53548,235
2020/8/15,53981,53783,198
2020/8/16,54102,53981,121
2020/8/17,54234,54102,132
2020/8/18,54448,54234,214
2020/8/19,54701,54448,253
2020/8/20,54992,54701,291
2020/8/21,55211,54992,219
2020/8/22,55452,55211,241
2020/8/23,55597,55452,145
2020/8/24,55720,55597,123
2020/8/25,55912,55720,192
2020/8/26,56274,55912,362
2020/8/27,56673,56274,399
2020/8/28,57074,56673,401
2020/8/29,57448,57074,374
2020/8/30,57768,57448,320
2020/8/31,58012,57768,244
2020/9/1,58243,58012,231
2020/9/2,58633,58243,390
2020/9/3,59051,58633,418
2020/9/4,59457,59051,406
2020/9/5,59943,59457,486
2020/9/6,60258,59943,315
2020/9/7,60507,60258,249
2020/9/8,60895,60507,388
2020/9/9,61541,60895,646
2020/9/10,62126,61541,585
2020/9/11,62813,62126,687
2020/9/12,63310,62813,497
2020/9/13,63983,63310,673
2020/9/14,64596,63983,613
2020/9/15,65021,64596,425
2020/9/16,65626,65021,605
2020/9/17,66396,65626,770
2020/9/18,67176,66396,780
2020/9/19,68025,67176,849
2020/9/20,68577,68025,552
2020/9/21,69200,68577,623
2020/9/22,69663,69200,463
2020/9/23,70465,69663,802
2020/9/24,71156,70465,691
2020/9/25,72055,71156,899
2020/9/26,72939,72055,884
2020/9/27,73604,72939,665
2020/9/28,74029,73604,425
2020/9/29,74717,74029,688
2020/9/30,75542,74717,825
2020/10/1,76396,75542,854
2020/10/2,77284,76396,888
2020/10/3,78247,77284,963
2020/10/4,79151,78247,904
2020/10/5,79885,79151,734
2020/10/6,80312,79885,427
2020/10/7,81256,80312,944
2020/10/8,82534,81256,1278
2020/10/9,83928,82534,1394
2020/10/10,85574,83928,1646
