Date,Actual,Prediction,,
2020/11/10,3817,,,
2020/11/11,4935,,,
2020/11/12,5839,,,
2020/11/13,6653,,,
2020/11/14,6602,,,
2020/11/15,6035,,,
2020/11/16,8371,,,
2020/11/17,4452,,,
2020/11/18,5891,,,
2020/11/19,6994,,,
2020/11/20,6489,,,
2020/11/21,6472,,,
2020/11/22,4788,,,
2020/11/23,4044,,,
2020/11/24,3919,,,
2020/11/25,5290,,,
2020/11/26,6383,,,
2020/11/27,5444,,,
2020/11/28,4868,,,
2020/11/29,4093,,,
2020/11/30,3262,,,
2020/12/1,2401,,,
2020/12/2,3384,,,
2020/12/3,3772,,,
2020/12/4,4935,,,
2020/12/5,6087,,,
2020/12/6,3834,,,
2020/12/7,2597,,,
2020/12/8,2905,,,
2020/12/9,4097,,,
2020/12/10,3134,,,
2020/12/11,5080,,,
2020/12/12,4413,,,
2020/12/13,4044,,,
2020/12/14,2194,,,
2020/12/15,2638,,,
2020/12/16,4720,,,
2020/12/17,4320,,,
2020/12/18,4336,,,
2020/12/19,3835,,,
2020/12/20,3334,,,
2020/12/21,2099,,,
2020/12/22,2436,,,
2020/12/23,4602,,,
2020/12/24,4378,,,
2020/12/25,4146,,,
2020/12/26,1214,,,
2020/12/27,1577,,,
2020/12/28,2093,,,
2020/12/29,3336,,,
2020/12/30,6049,,,
2020/12/31,7627,,,
2021/1/1,6951,,,
2021/1/2,3241,,,
2021/1/3,3384,,,
2021/1/4,4369,,,
2021/1/5,4956,,,
2021/1/6,10027,,,
2021/1/7,9927,,,
2021/1/8,10176,,,
2021/1/9,9478,,,
2021/1/10,7502,,,
2021/1/11,5604,,,
2021/1/12,7259,,,
2021/1/13,10556,,,
2021/1/14,10698,,,
2021/1/15,10663,,,
2021/1/16,10947,,,
2021/1/17,10385,,,
2021/1/18,6702,,,
2021/1/19,10455,7941.879657,-0.316438986,0.314409536
2021/1/20,14647,11357.74614,-0.289604453,
2021/1/21,13544,11570.17131,-0.170596324,
2021/1/22,13987,11609.60144,-0.204778654,
2021/1/23,15333,11222.41622,-0.366283312,
2021/1/24,11721,10562.26561,-0.109705098,
2021/1/25,6923,8282.488407,0.164140092,
2021/1/26,10765,9211.941113,-0.168591925,
2021/1/27,15073,12278.41752,-0.227601194,
2021/1/28,16432,12515.49331,-0.312932667,
2021/1/29,13200,12580.97589,-0.049203187,
2021/1/30,12435,11958.85863,-0.039814951,
2021/1/31,9498,11264.3528,0.15680908,
2021/2/1,5805,9475.73955,0.387382909,
2021/2/2,5540,10296.53486,0.461954913,
2021/2/3,9083,13240.71578,0.314009896,
2021/2/4,7914,13486.41992,0.413187484,
2021/2/5,6916,13561.02153,0.490008921,
2021/2/6,6132,12856.67203,0.523049201,
2021/2/7,3508,12150.14098,0.71127907,
2021/2/8,2505,10533.44772,0.762186127,
2021/2/9,2583,11316.21016,0.77174337,
2021/2/10,4387,14217.58452,0.691438444,
2021/2/11,3480,14466.3088,0.759441054,
2021/2/12,2854,14544.1023,0.803769257,
2021/2/13,2856,13810.96941,0.793207854,
2021/2/14,1677,13100.22923,0.871986973,
2021/2/15,1303,11543.71238,0.8871247,
2021/2/16,1502,12313.16233,0.878016714,
2021/2/17,2324,15199.5533,0.84710077,
